system:index,blue,cfmask,green,latitude,longitude,nbr,ndvi,nir,red,swir1,swir2,.geo,Y_Lat,X_Long,OBJECTID
1_2_LE71260522004281_0_2,1039,0,1289,11.59833286,104.9175363,0.3392904,0.34388185,2548,1244,1727,1257,NA,11.59833286,104.9175363,1
1_2_LE71260522004281_0_3,20000,4,20000,11.54489019,104.9390123,0.21627879,-0.6005762,4991,20000,4033,3216,NA,11.54489019,104.9390123,2
1_1_LT51260522004289_0_0,420,0,698,11.64526631,104.9078894,0.5796668,0.5837259,1849,486,945,492,NA,11.64526631,104.9078894,5
1_1_LT51260522004289_0_1,462,1,653,11.51802754,104.9263632,0.6012759,0.025536261,502,477,116,125,NA,11.51802754,104.9263632,3
1_1_LT51260522004289_0_2,355,0,458,11.5031066,104.9310436,0.7199434,0.58230317,1216,321,456,198,NA,11.5031066,104.9310436,4
1_1_LT51260522004289_0_3,842,0,1135,11.59833286,104.9175363,0.2375383,0.34830096,2222,1074,1797,1369,NA,11.59833286,104.9175363,1
1_1_LT51260522004289_0_4,522,0,841,11.54489019,104.9390123,0.6622807,0.30520877,1516,807,604,308,NA,11.54489019,104.9390123,2
1_2_LE71260522004297_0_0,1184,0,1479,11.59833286,104.9175363,0.28459,0.24845794,2530,1523,1841,1409,NA,11.59833286,104.9175363,1
1_2_LE71260522004297_0_1,569,0,709,11.51802754,104.9263632,0.53714985,0.37697762,1262,571,661,380,NA,11.51802754,104.9263632,3
1_2_LE71260522004297_0_2,527,0,709,11.5031066,104.9310436,0.5362508,0.34630796,1176,571,447,355,NA,11.5031066,104.9310436,4
1_2_LE71260522004297_0_3,839,0,995,11.64526631,104.9078894,0.45826566,0.41239384,2245,934,1444,834,NA,11.64526631,104.9078894,5
1_2_LE71260522004313_0_0,532,0,629,11.51802754,104.9263632,0.70852923,0.5353048,1272,385,548,217,NA,11.51802754,104.9263632,3
1_2_LE71260522004313_0_1,513,0,650,11.5031066,104.9310436,0.76091623,0.4730539,1230,440,359,167,NA,11.5031066,104.9310436,4
1_2_LE71260522004313_0_2,918,0,1125,11.59833286,104.9175363,0.2533572,0.27892813,2100,1184,1686,1251,NA,11.59833286,104.9175363,1
1_2_LE71260522004313_0_3,607,0,836,11.54489019,104.9390123,0.24457593,0.3497326,1893,912,1709,1149,NA,11.54489019,104.9390123,2
1_2_LE71260522004313_0_4,407,0,624,11.64526631,104.9078894,0.46495816,0.7017011,2801,491,2207,1023,NA,11.64526631,104.9078894,5
1_1_LT51260522004321_0_0,799,2,815,11.51802754,104.9263632,0.5426552,0.39607126,1528,661,654,453,NA,11.51802754,104.9263632,3
1_1_LT51260522004321_0_1,20000,4,4106,11.5031066,104.9310436,0.32695055,0.07676252,4643,3981,3229,2355,NA,11.5031066,104.9310436,4
1_1_LT51260522004321_0_2,579,2,736,11.59833286,104.9175363,0.19130434,0.20780857,959,629,839,651,NA,11.59833286,104.9175363,1
1_1_LT51260522004321_0_3,759,0,975,11.54489019,104.9390123,0.29144385,0.40857393,2415,1014,1891,1325,NA,11.54489019,104.9390123,2
1_1_LT51260522004321_0_4,20000,4,5172,11.64526631,104.9078894,0.1229177,0.058440953,5696,5067,5055,4449,NA,11.64526631,104.9078894,5
1_2_LE71260522004329_0_0,370,0,563,11.51802754,104.9263632,0.69139147,0.64681077,1562,335,652,285,NA,11.51802754,104.9263632,3
1_2_LE71260522004329_0_1,400,0,513,11.5031066,104.9310436,0.6291486,0.45583495,1129,422,429,257,NA,11.5031066,104.9310436,4
1_2_LE71260522004329_0_2,369,0,596,11.64526631,104.9078894,0.55448496,0.7794118,3388,420,1979,971,NA,11.64526631,104.9078894,5
1_2_LE71260522004329_0_3,917,0,1102,11.59833286,104.9175363,0.1944695,0.2190184,1987,1273,1660,1340,NA,11.59833286,104.9175363,1
1_1_LT51260522004337_0_0,3931,4,4340,11.51802754,104.9263632,0.2662014,0.14529058,5715,4265,4325,3312,NA,11.51802754,104.9263632,3
1_1_LT51260522004337_0_1,648,0,903,11.5031066,104.9310436,0.39272988,0.42057434,1954,797,1215,852,NA,11.5031066,104.9310436,4
1_1_LT51260522004337_0_2,1879,4,2054,11.64526631,104.9078894,0.30281824,0.2539596,3444,2049,2469,1843,NA,11.64526631,104.9078894,5
1_1_LT51260522004337_0_3,1208,4,1448,11.59833286,104.9175363,0.24013528,0.18983234,2200,1498,1816,1348,NA,11.59833286,104.9175363,1
1_1_LT51260522004337_0_4,1762,4,2023,11.54489019,104.9390123,0.22628593,0.22222222,3135,1995,2482,1978,NA,11.54489019,104.9390123,2
1_1_LT51260522004353_0_0,416,0,640,11.64526631,104.9078894,0.5826172,0.7226082,3223,519,1630,850,NA,11.64526631,104.9078894,5
1_1_LT51260522004353_0_1,554,2,811,11.51802754,104.9263632,0.6590668,0.66746604,3129,624,1353,643,NA,11.51802754,104.9263632,3
1_1_LT51260522004353_0_2,720,2,965,11.5031066,104.9310436,0.3984725,0.4886459,2655,912,1936,1142,NA,11.5031066,104.9310436,4
1_1_LT51260522004353_0_3,920,4,1135,11.59833286,104.9175363,0.22133169,0.25379747,1981,1179,1519,1263,NA,11.59833286,104.9175363,1
1_1_LT51260522004353_0_4,1189,4,1417,11.54489019,104.9390123,0.42277384,0.4774959,3611,1277,2252,1465,NA,11.54489019,104.9390123,2
1_2_LE71260522004361_0_0,499,0,678,11.64526631,104.9078894,0.5460897,0.7107232,3430,580,1987,1007,NA,11.64526631,104.9078894,5
1_2_LE71260522004361_0_1,593,0,892,11.51802754,104.9263632,0.6328502,0.6883117,3380,624,1568,760,NA,11.51802754,104.9263632,3
1_2_LE71260522004361_0_2,571,0,752,11.5031066,104.9310436,0.50221974,0.6156371,2707,644,1802,897,NA,11.5031066,104.9310436,4
1_2_LE71260522004361_0_3,954,0,1220,11.59833286,104.9175363,0.18129614,0.22275686,2160,1373,1720,1497,NA,11.59833286,104.9175363,1
1_2_LE71260522004361_0_4,571,0,845,11.54489019,104.9390123,0.5111759,0.61307055,3110,746,1906,1006,NA,11.54489019,104.9390123,2
1_1_LT51260522005003_0_0,549,0,736,11.51802754,104.9263632,0.6768666,0.5753162,2055,554,978,396,NA,11.51802754,104.9263632,3
1_1_LT51260522005003_0_1,557,0,784,11.5031066,104.9310436,0.48900574,0.6490207,3115,663,2068,1069,NA,11.5031066,104.9310436,4
1_1_LT51260522005003_0_2,852,0,1170,11.59833286,104.9175363,0.052539404,0.19403973,1803,1217,1965,1623,NA,11.59833286,104.9175363,1
1_1_LT51260522005003_0_3,583,0,862,11.54489019,104.9390123,0.5050785,0.6222941,3260,759,2019,1072,NA,11.54489019,104.9390123,2
1_1_LT51260522005003_0_4,515,0,698,11.64526631,104.9078894,0.48876137,0.6795252,3113,594,2040,1069,NA,11.64526631,104.9078894,5
1_2_LE71260522005011_0_0,885,2,930,11.59833286,104.9175363,0.4283854,0.10808081,1097,883,637,439,NA,11.59833286,104.9175363,1
1_2_LE71260522005011_0_1,2892,4,3149,11.51802754,104.9263632,0.2365882,0.207386,4806,3155,3921,2967,NA,11.51802754,104.9263632,3
1_2_LE71260522005011_0_2,829,4,889,11.5031066,104.9310436,0.5435294,0.5485394,2624,765,1612,776,NA,11.5031066,104.9310436,4
1_2_LE71260522005011_0_3,1588,4,1703,11.64526631,104.9078894,0.30853215,0.33801943,3236,1601,2566,1710,NA,11.64526631,104.9078894,5
1_1_LT51260522005019_0_0,948,0,1166,11.59833286,104.9175363,0.108965516,0.21084337,2010,1310,1869,1615,NA,11.59833286,104.9175363,1
1_1_LT51260522005019_0_1,621,0,909,11.54489019,104.9390123,0.4696691,0.58630955,3198,834,2066,1154,NA,11.54489019,104.9390123,2
1_1_LT51260522005019_0_2,670,0,955,11.51802754,104.9263632,0.69615805,0.6806613,3863,734,1674,692,NA,11.51802754,104.9263632,3
1_1_LT51260522005019_0_3,624,0,826,11.5031066,104.9310436,0.48861808,0.63114136,3237,732,2148,1112,NA,11.5031066,104.9310436,4
1_1_LT51260522005019_0_4,602,0,783,11.64526631,104.9078894,0.47695443,0.6430595,2900,630,1954,1027,NA,11.64526631,104.9078894,5
1_2_LE71260522005027_0_0,1010,0,1208,11.51802754,104.9263632,0.6694491,0.66562563,4000,803,1814,792,NA,11.51802754,104.9263632,3
1_2_LE71260522005027_0_1,1323,4,1334,11.5031066,104.9310436,0.46519485,0.46949843,3252,1174,2133,1187,NA,11.5031066,104.9310436,4
1_2_LE71260522005027_0_2,1025,0,1126,11.64526631,104.9078894,0.48292,0.5469856,3169,928,2191,1105,NA,11.64526631,104.9078894,5
